date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:33	2446/2446	---MCZ	200	added ('OK')	application/javascript	etag:W/%2298e-19a5425d970%22	https://webcdn.getjusto.com/assets/index-Cdtwe2q-.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-Cdtwe2q-.js	(from https://www.hanoisushi.cl/pedir)
11:13:33	229459/229459	---MCZ	200	added ('OK')	application/javascript	etag:W/%2238053-19a5425d970%22	https://webcdn.getjusto.com/assets/index-DUyAALTD.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-DUyAALTD.js	(from https://www.hanoisushi.cl/pedir)
11:13:33	1405/1405	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257d-19a5425d970%22	https://webcdn.getjusto.com/assets/WebsiteNotFound-Cojhfve0.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/WebsiteNotFound-Cojhfve0.js	(from https://www.hanoisushi.cl/pedir)
11:13:33	138/138	---M--	200	added ('OK')	application/javascript	etag:W/%228a-19a5425d588%22	https://webcdn.getjusto.com/assets/useHydrated-DGqRnkd3.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/useHydrated-DGqRnkd3.js	(from https://www.hanoisushi.cl/pedir)
11:13:33	730/730	---M--	200	added ('OK')	application/javascript	etag:W/%222da-19a5425d588%22	https://webcdn.getjusto.com/assets/index-B7S20zKg.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-B7S20zKg.js	(from https://www.hanoisushi.cl/pedir)
11:13:34	374/374	---M--	200	added ('OK')	application/javascript	etag:W/%22176-19a5425d588%22	https://webcdn.getjusto.com/assets/clsx-B-dksMZM.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/clsx-B-dksMZM.js	(from https://www.hanoisushi.cl/pedir)
11:13:34	12138/12138	---MCZ	200	added ('OK')	application/javascript	etag:W/%222f6a-19a5425d970%22	https://webcdn.getjusto.com/assets/tslib.es6-B4nGuNfR.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/tslib.es6-B4nGuNfR.js	(from https://www.hanoisushi.cl/pedir)
11:13:34	446/446	---M--	200	added ('OK')	application/javascript	etag:W/%221be-19a5425d588%22	https://webcdn.getjusto.com/assets/useSearchParams-R8k8eN7N.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/useSearchParams-R8k8eN7N.js	(from https://www.hanoisushi.cl/pedir)
11:13:34	249/249	---M--	200	added ('OK')	application/javascript	etag:W/%22f9-19a5425d588%22	https://webcdn.getjusto.com/assets/useStateWithTransition-BEN_QdyR.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/useStateWithTransition-BEN_QdyR.js	(from https://www.hanoisushi.cl/pedir)
11:13:35	27667/27667	---MCZ	200	added ('OK')	application/javascript	etag:W/%226c13-19a5425d970%22	https://webcdn.getjusto.com/assets/index-Dz7ujoPl.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-Dz7ujoPl.js	(from https://www.hanoisushi.cl/pedir)
11:13:35	47/47	---M--	200	added ('OK')	application/javascript	etag:W/%222f-19a5425d588%22	https://webcdn.getjusto.com/assets/identity-CwXImgea.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/identity-CwXImgea.js	(from https://www.hanoisushi.cl/pedir)
11:13:35	10212/10212	---MCZ	200	added ('OK')	application/javascript	etag:W/%2227e4-19a5425d970%22	https://webcdn.getjusto.com/assets/index-Dpcw64aj.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-Dpcw64aj.js	(from https://www.hanoisushi.cl/pedir)
11:13:35	194/194	---M--	200	added ('OK')	application/javascript	etag:W/%22c2-19a5425d588%22	https://webcdn.getjusto.com/assets/get---A8iXU-.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/get---A8iXU-.js	(from https://www.hanoisushi.cl/pedir)
11:13:35	3415/3415	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d57-19a5425d970%22	https://webcdn.getjusto.com/assets/isEqual-iux_d1W7.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/isEqual-iux_d1W7.js	(from https://www.hanoisushi.cl/pedir)
11:13:36	10703/10703	---MCZ	200	added ('OK')	application/javascript	etag:W/%2229cf-19a5425d970%22	https://webcdn.getjusto.com/assets/index-C7wa7IgK.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-C7wa7IgK.js	(from https://www.hanoisushi.cl/pedir)
11:13:36	27747/27747	---MCZ	200	added ('OK')	application/javascript	etag:W/%226c63-19a5425d970%22	https://webcdn.getjusto.com/assets/index-BUY6SKgV.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-BUY6SKgV.js	(from https://www.hanoisushi.cl/pedir)
11:13:36	2019/2019	---MCZ	200	added ('OK')	application/javascript	etag:W/%227e3-19a5425d588%22	https://webcdn.getjusto.com/assets/button-B9Ixe4GG.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/button-B9Ixe4GG.js	(from https://www.hanoisushi.cl/pedir)
11:13:36	1635/1635	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663-19a5425d970%22	https://webcdn.getjusto.com/assets/index-Bt5S1wHf.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-Bt5S1wHf.js	(from https://www.hanoisushi.cl/pedir)
11:13:36	1107/1107	---MCZ	200	added ('OK')	application/javascript	etag:W/%22453-19a5425d970%22	https://webcdn.getjusto.com/assets/index-7UdPD0wL.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-7UdPD0wL.js	(from https://www.hanoisushi.cl/pedir)
11:13:37	241/241	---M--	200	added ('OK')	application/javascript	etag:W/%22f1-19a5425d588%22	https://webcdn.getjusto.com/assets/Container-Cn3YuP-m.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/Container-Cn3YuP-m.js	(from https://www.hanoisushi.cl/pedir)
11:13:37	421/421	---M--	200	added ('OK')	application/javascript	etag:W/%221a5-19a5425d588%22	https://webcdn.getjusto.com/assets/getImageSrcSet-Duns6C57.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/getImageSrcSet-Duns6C57.js	(from https://www.hanoisushi.cl/pedir)
